DistrictName,SchoolYearPurchased,Technology,NumberStudents,PurchasedDate,PurchaseDescription,TotalCost,Notes,Comment
SPRING ISD,2018-2019,Social Sentinel,35385,5/6/19,SOCIAL SENTINEL ANNUAL SERVICE,"$9,908.50 ",,
SPRING ISD,2019-2020,Social Sentinel,35336,5/19/20,2019-20 ONE-TIME COST: SAFETY & RISK QUOTE 18852226 - SOCIAL SENTINEL ANNUAL SERVICE,"$39,633.84 ",,
STAFFORD MSD,2018-2019,Social Sentinel,3589,5/4/19,SOCIAL SENTINEL,"$5,400 ","Confirmed on the phone that they use the service. Using the anonymous reporting tool for COVID misinifo. Haven't had any reports re. suicide, that spokesperson could remember.",View the full comment here: https://app.trint.com/public/39c9ec7a-900e-4e02-90ed-8e589213731a.
TARKINGTON ISD,2018-2019,Social Sentinel,1810,11/8/18,SOCIAL SENTINEL CONSORT AGREE,"$3,385.50 ",,
TAYLOR ISD,2015-2016,Gaggle,3182,7/8/15,"Gaggle Safety Management for Google Email for 2000 @$2.70 and Gaggle Safety Management for Google Docs-students for 2,000 @$1 from 7/1/15 to 6/30/16","$7,400 ",,
TAYLOR ISD,2016-2017,Gaggle,3203,8/16/16,Gaggle Safety Management for Google-Student from 7-1-16 to 6-30-17,$321 ,,
TAYLOR ISD,2016-2017,Gaggle,3203,8/16/16,Gaggle Safety Management for Google-Student from 7-1-16 to 6-30-17,"$7,329 ",,
TAYLOR ISD,2017-2018,Gaggle,3198,9/1/17,Student Email Safety Management,"$7,948 ",,
TAYLOR ISD,2018-2019,Social Sentinel,3191,3/5/19,Social Sentinel Data Usage Fees - Annual Period 1 - 2/22/2019 - 2/29/2020,$620 ,,
TAYLOR ISD,2018-2019,Social Sentinel,3191,3/5/19,Social Sentinel Service Fees - Annual Period 1 - 2/22/2019 - 2/29/2020,"$8,680 ",,
TAYLOR ISD,2018-2019,Securly,3191,7/31/18,"Securly Anywhere Filtering TIPS USA-Securly Contracta: #2092216 Web Hosting, Services or Content Management for 3000 Users.","$10,450 ",,
TEMPLE ISD,2015-2016,Gaggle,8636,7/13/15,ITEM 1804-S GAGGLE SAFETY MANAGEMENT FOR GOOGLE DRIVE-STUDENTS 12 MONTH,"$15,400 ",,
TEMPLE ISD,2015-2016,Gaggle,8636,7/13/15,QUOTE#610741 ITEM 1801 GAGGLE SAFETY MANAGEMENT FOR GOOGLE EMAIL,"$23,100 ",,
TEMPLE ISD,2015-2016,Gaggle,8636,7/23/15,REGULAR PO,"$38,500 ",,
TEMPLE ISD,2016-2017,Gaggle,8643,7/15/16,Gaggle services for Google Apps for Education,"$33,125 ",,
TEMPLE ISD,2017-2018,Gaggle,8631,7/19/17,"7/10/17 INVOICE #340920, Gaggle Safety Management for Google-Student","$33,125 ",,
TEMPLE ISD,2018-2019,Gaggle,8752,7/23/18,"INV #35901 Dated 7/11/18 qty 7415, Gaggle safety management and Speak up","$37,075 ",,
TEMPLE ISD,2019-2020,Gaggle,8720,6/3/20,GAGGLE SAFETY MANAGMENT FOR GOODGLE STUDENT (DRIVE + EMAIL) 1 yr,"$37,075 ",,
TEXAS CITY ISD,2015-2016,Gaggle,6397,10/12/15,Gaggle LMS Pricing Term 12 month,"$11,000 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? Texas City ISD has never used Gaggle.

What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) This type of technology provides early warning on buzz words describing violent activity (harm to self or other).  Keys words such as: fight, gun, shoot, sucide etc.  However, we will not discuss in detail how it is used due to Under Title 5, USC 522 we decline to discuss the tactics, technique and procedures used in the protection of our students and staff.  

Do you still use this technology? If not, why did you stop? If so, why is it still worth it? We never used Gaggle.

Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? The digital threat assessment is used on all students, staff and local community members who make threatening statements that could affect the security and safety of the district in accordance with Senate Bill 11.

Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? The district used Social Sentinel for a short period of time in 2018 for the purpose of social media monitoring. Senate Bill 11, passed during the 86th Texas Legislative Session in 2019, added Section 115 to Chapter 37 of the Texas Education Code. This section requires all public school districts and open-enrollment charter schools in Texas to have a trained, multidisciplinary threat assessment team whose purpose is to identify, assess, report, and manage individuals who make threats of violence, or who exhibit harmful, threatening, or violent behavior. The team also gathers and analyzes data to determine the level of risk and appropriate intervention. Digital Threat Assessment (DTA) was developed to address the evolving technology challenges that currently face our schools. Most aspects of school safety and threats to schools now involve a social media or other online component.

Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Students and parents were only told we monitored social media as part of our security plan but we did not share details how.  In accordance with Title 5, USC 522 we decline to discuss the tactics, technique and procedures used in the protection of our students and staff.  

What policies did/do you have in place specifically governing the use of this technology by District officials? There are no board policies that address the use.

Who all has/had access to reports/alerts generated by this technology? Up to 4 staff members in technology and emergency management/security

Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Yes, the technology has helped prevent an instance of imminent violence or self-harm. However, we decline to discuss any specifics out of the privacy protection of our students and staff.  

Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? No

Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. The use of technology has uncovered information that has led to students being disciplined. However, we are not able to discuss student discipline."" - Melissa Tortorici, Director of Communications"
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2015-2016,Gaggle,417,9/18/15,EMAIL/COLLABORATION/ARCHIVE,$250 ,,
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2016-2017,Gaggle,387,10/19/16,EMAIL SERVICE,"$2,250 ",,
TOMBALL ISD,2019-2020,Go Guardian,18294,10/10/19,GO GUARDIAN FOR TEA,$146.50 ,,
TROUP ISD,2015-2016,Gaggle,1098,9/14/15,Gaggle Student Email & Filtering Services,"$4,050 ",,
TYLER ISD,2018-2019,Social Sentinel,18130,9/11/18,Social Sentinel Command Ctr Software Services 09/01/18/-08/31/19,"$18,500 ",,
UPLIFT EDUCATION,2018-2019,Securly,18709,5/30/19,Securly,"$30,150 ",,
UPLIFT EDUCATION,2019-2020,Securly,20068,6/5/20,Securly,"$51,015 ",,
UVALDE CISD,2019-2020,Social Sentinel,4265,2/14/20,"Social Sentinel - social media scanning services for Uvalde CISD - Term Dates: September 1, 2019 - August 31, 2020","$7,749.06 ",,
UVALDE CISD,2019-2020,Social Sentinel,4265,8/6/19,"Social Sentinel - media scanning for Uvalde CISD - Term Dates: June 1, 2019 - August 31, 2019","$2,152.50 ",,
VAN VLECK ISD,2018-2019,Go Guardian,1045,10/16/18,Go Guardian,"$4,690 ",,
VAN VLECK ISD,2019-2020,Go Guardian,1079,9/26/19,Go Guardian Subscription softwareItem Discount = .00; Item.Freight = .00,"$3,119.16 ",,
VENUS ISD,2019-2020,Gaggle,2182,10/10/19,GAGGLE SAFETY MANAGEMENT FOR GOOGLE-STUDENT,"$14,500 ",,
VERIBEST ISD,2017-2018,Go Guardian,269,1/1/18,GO GUARDIAN FOR TEACHERS,"$1,123.75 ",,
VERNON ISD,2019-2020,Go Guardian,1952,9/27/19,GO GUARDIAN ACCESS TO CHROMEBOOKS GOOGLE CHROME,"$7,177.54 ",,
VIDOR ISD,2018-2019,Social Sentinel,4548,10/22/18,Social Sentinel Consortium Region 5 Agreement for 2018-2019,"$8,417.50 ",,
WALL ISD,2015-2016,Gaggle,1105,9/8/15,Gaggle Safety Management Gaggle Safety Managment Office 365 Email,"$2,600 ",,"Why did the District purchase this technology? It was another layer of protection for our students. I am alerted of any inappropriate behavior which then is addressed by the principals, and also alerts us on any self-harm which is dealt with immediately. Who recommended it to you? I learned about it at a technology leaders‚' conference. What, if any, instigating incident was there that made you purchase this technology? There wasn‚'t a specific incident, but we wanted to give parents the assurance  that students are being protected to the best of our ability.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) We do not monitor social media, as our district does not allow the use of social media on campus. We use Gaggle to monitor email, Google Drive, and Microsoft One Drive.
Do you still use this technology? Yes, definitely. If not, why did you stop? If so, why is it still worth it? If we can help even one student who is threatening self-harm or harm to others, or to guide a student to go down ‚Äúthe right path,‚Äù it is well worth the cost. I can say, the price is very reasonable.
Is this technology used on all students in the District or just a certain subset? We only use Gaggle to monitor files and email for 6th-12th grades. I also have a content filter and keylogger that monitors for inappropriate material for all students and staff. Is it used on any employees or community members? Not Gaggle; it is only for students grades 6 ‚Äì 12.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We use Lightspeed Relay as our content filter for all web traffic. I use Aristotle K12 to monitor all keystrokes; it reports on any inappropriate words in files, emails, and files. These two resources are used for all students and staff.
Were students or their parents ever notified or informed in any way about the use of this technology? Yes. If so, how? It is part of our Acceptable Use Policy. If students and parents do not agree to the AUP, the student cannot use any school-owned technology. Could students or parents ""opt-out""? Not really; if they do, their child cannot use any school technology.
What policies did/do you have in place specifically governing the use of this technology by District officials? They don‚'t use school technology other than an email account. They are bound by the same rules in our AUP.
Who all has/had access to reports/alerts generated by this technology? Gaggle reports are only sent to me (director of technology) and the corresponding principal and counselor. The keylogger and Lightspeed Relay reports are only accessible by the technology department staff.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? We have been alerted to a couple of possible self-harm issues. The counselor and principal reached out to the students and parents. They were able to get the students the mental-health assistance needed.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? Yes  If so, how? We have used it to discuss inappropriate behavior (i.e. accessing inappropriate material off campus using a school email account.)
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? Yes  If so, please describe these specific instances. We have had a couple of students try to access inappropriate material using a school-issued email account. This is directly against our Acceptable Use Policy, so the students were given on-campus detention based on our discipline guidelines."" -Suzette McIntyre, Director of Technology"
WALL ISD,2016-2017,Gaggle,1115,9/14/16,PO Created by Req: 005913,"$2,600 ",,"Why did the District purchase this technology? It was another layer of protection for our students. I am alerted of any inappropriate behavior which then is addressed by the principals, and also alerts us on any self-harm which is dealt with immediately. Who recommended it to you? I learned about it at a technology leaders‚' conference. What, if any, instigating incident was there that made you purchase this technology? There wasn‚'t a specific incident, but we wanted to give parents the assurance  that students are being protected to the best of our ability.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) We do not monitor social media, as our district does not allow the use of social media on campus. We use Gaggle to monitor email, Google Drive, and Microsoft One Drive.
Do you still use this technology? Yes, definitely. If not, why did you stop? If so, why is it still worth it? If we can help even one student who is threatening self-harm or harm to others, or to guide a student to go down ‚Äúthe right path,‚Äù it is well worth the cost. I can say, the price is very reasonable.
Is this technology used on all students in the District or just a certain subset? We only use Gaggle to monitor files and email for 6th-12th grades. I also have a content filter and keylogger that monitors for inappropriate material for all students and staff. Is it used on any employees or community members? Not Gaggle; it is only for students grades 6 ‚Äì 12.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We use Lightspeed Relay as our content filter for all web traffic. I use Aristotle K12 to monitor all keystrokes; it reports on any inappropriate words in files, emails, and files. These two resources are used for all students and staff.
Were students or their parents ever notified or informed in any way about the use of this technology? Yes. If so, how? It is part of our Acceptable Use Policy. If students and parents do not agree to the AUP, the student cannot use any school-owned technology. Could students or parents ""opt-out""? Not really; if they do, their child cannot use any school technology.
What policies did/do you have in place specifically governing the use of this technology by District officials? They don‚'t use school technology other than an email account. They are bound by the same rules in our AUP.
Who all has/had access to reports/alerts generated by this technology? Gaggle reports are only sent to me (director of technology) and the corresponding principal and counselor. The keylogger and Lightspeed Relay reports are only accessible by the technology department staff.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? We have been alerted to a couple of possible self-harm issues. The counselor and principal reached out to the students and parents. They were able to get the students the mental-health assistance needed.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? Yes  If so, how? We have used it to discuss inappropriate behavior (i.e. accessing inappropriate material off campus using a school email account.)
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? Yes  If so, please describe these specific instances. We have had a couple of students try to access inappropriate material using a school-issued email account. This is directly against our Acceptable Use Policy, so the students were given on-campus detention based on our discipline guidelines."" -Suzette McIntyre, Director of Technology"
WALL ISD,2017-2018,Gaggle,1135,10/27/17,PO Created by Req: 006608,"$3,900 ",,"Why did the District purchase this technology? It was another layer of protection for our students. I am alerted of any inappropriate behavior which then is addressed by the principals, and also alerts us on any self-harm which is dealt with immediately. Who recommended it to you? I learned about it at a technology leaders‚' conference. What, if any, instigating incident was there that made you purchase this technology? There wasn‚'t a specific incident, but we wanted to give parents the assurance  that students are being protected to the best of our ability.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) We do not monitor social media, as our district does not allow the use of social media on campus. We use Gaggle to monitor email, Google Drive, and Microsoft One Drive.
Do you still use this technology? Yes, definitely. If not, why did you stop? If so, why is it still worth it? If we can help even one student who is threatening self-harm or harm to others, or to guide a student to go down ‚Äúthe right path,‚Äù it is well worth the cost. I can say, the price is very reasonable.
Is this technology used on all students in the District or just a certain subset? We only use Gaggle to monitor files and email for 6th-12th grades. I also have a content filter and keylogger that monitors for inappropriate material for all students and staff. Is it used on any employees or community members? Not Gaggle; it is only for students grades 6 ‚Äì 12.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We use Lightspeed Relay as our content filter for all web traffic. I use Aristotle K12 to monitor all keystrokes; it reports on any inappropriate words in files, emails, and files. These two resources are used for all students and staff.
Were students or their parents ever notified or informed in any way about the use of this technology? Yes. If so, how? It is part of our Acceptable Use Policy. If students and parents do not agree to the AUP, the student cannot use any school-owned technology. Could students or parents ""opt-out""? Not really; if they do, their child cannot use any school technology.
What policies did/do you have in place specifically governing the use of this technology by District officials? They don‚'t use school technology other than an email account. They are bound by the same rules in our AUP.
Who all has/had access to reports/alerts generated by this technology? Gaggle reports are only sent to me (director of technology) and the corresponding principal and counselor. The keylogger and Lightspeed Relay reports are only accessible by the technology department staff.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? We have been alerted to a couple of possible self-harm issues. The counselor and principal reached out to the students and parents. They were able to get the students the mental-health assistance needed.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? Yes  If so, how? We have used it to discuss inappropriate behavior (i.e. accessing inappropriate material off campus using a school email account.)
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? Yes  If so, please describe these specific instances. We have had a couple of students try to access inappropriate material using a school-issued email account. This is directly against our Acceptable Use Policy, so the students were given on-campus detention based on our discipline guidelines."" -Suzette McIntyre, Director of Technology"
WALL ISD,2018-2019,Gaggle,1179,9/19/18,PO Created by Req: 007370,"$3,900 ",,"Why did the District purchase this technology? It was another layer of protection for our students. I am alerted of any inappropriate behavior which then is addressed by the principals, and also alerts us on any self-harm which is dealt with immediately. Who recommended it to you? I learned about it at a technology leaders‚' conference. What, if any, instigating incident was there that made you purchase this technology? There wasn‚'t a specific incident, but we wanted to give parents the assurance  that students are being protected to the best of our ability.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) We do not monitor social media, as our district does not allow the use of social media on campus. We use Gaggle to monitor email, Google Drive, and Microsoft One Drive.
Do you still use this technology? Yes, definitely. If not, why did you stop? If so, why is it still worth it? If we can help even one student who is threatening self-harm or harm to others, or to guide a student to go down ‚Äúthe right path,‚Äù it is well worth the cost. I can say, the price is very reasonable.
Is this technology used on all students in the District or just a certain subset? We only use Gaggle to monitor files and email for 6th-12th grades. I also have a content filter and keylogger that monitors for inappropriate material for all students and staff. Is it used on any employees or community members? Not Gaggle; it is only for students grades 6 ‚Äì 12.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We use Lightspeed Relay as our content filter for all web traffic. I use Aristotle K12 to monitor all keystrokes; it reports on any inappropriate words in files, emails, and files. These two resources are used for all students and staff.
Were students or their parents ever notified or informed in any way about the use of this technology? Yes. If so, how? It is part of our Acceptable Use Policy. If students and parents do not agree to the AUP, the student cannot use any school-owned technology. Could students or parents ""opt-out""? Not really; if they do, their child cannot use any school technology.
What policies did/do you have in place specifically governing the use of this technology by District officials? They don‚'t use school technology other than an email account. They are bound by the same rules in our AUP.
Who all has/had access to reports/alerts generated by this technology? Gaggle reports are only sent to me (director of technology) and the corresponding principal and counselor. The keylogger and Lightspeed Relay reports are only accessible by the technology department staff.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? We have been alerted to a couple of possible self-harm issues. The counselor and principal reached out to the students and parents. They were able to get the students the mental-health assistance needed.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? Yes  If so, how? We have used it to discuss inappropriate behavior (i.e. accessing inappropriate material off campus using a school email account.)
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? Yes  If so, please describe these specific instances. We have had a couple of students try to access inappropriate material using a school-issued email account. This is directly against our Acceptable Use Policy, so the students were given on-campus detention based on our discipline guidelines."" -Suzette McIntyre, Director of Technology"
WALL ISD,2019-2020,Gaggle,1233,11/11/19,PO Created by Req: 008101,"$4,590 ",,"Why did the District purchase this technology? It was another layer of protection for our students. I am alerted of any inappropriate behavior which then is addressed by the principals, and also alerts us on any self-harm which is dealt with immediately. Who recommended it to you? I learned about it at a technology leaders‚' conference. What, if any, instigating incident was there that made you purchase this technology? There wasn‚'t a specific incident, but we wanted to give parents the assurance  that students are being protected to the best of our ability.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) We do not monitor social media, as our district does not allow the use of social media on campus. We use Gaggle to monitor email, Google Drive, and Microsoft One Drive.
Do you still use this technology? Yes, definitely. If not, why did you stop? If so, why is it still worth it? If we can help even one student who is threatening self-harm or harm to others, or to guide a student to go down ‚Äúthe right path,‚Äù it is well worth the cost. I can say, the price is very reasonable.
Is this technology used on all students in the District or just a certain subset? We only use Gaggle to monitor files and email for 6th-12th grades. I also have a content filter and keylogger that monitors for inappropriate material for all students and staff. Is it used on any employees or community members? Not Gaggle; it is only for students grades 6 ‚Äì 12.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We use Lightspeed Relay as our content filter for all web traffic. I use Aristotle K12 to monitor all keystrokes; it reports on any inappropriate words in files, emails, and files. These two resources are used for all students and staff.
Were students or their parents ever notified or informed in any way about the use of this technology? Yes. If so, how? It is part of our Acceptable Use Policy. If students and parents do not agree to the AUP, the student cannot use any school-owned technology. Could students or parents ""opt-out""? Not really; if they do, their child cannot use any school technology.
What policies did/do you have in place specifically governing the use of this technology by District officials? They don‚'t use school technology other than an email account. They are bound by the same rules in our AUP.
Who all has/had access to reports/alerts generated by this technology? Gaggle reports are only sent to me (director of technology) and the corresponding principal and counselor. The keylogger and Lightspeed Relay reports are only accessible by the technology department staff.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? We have been alerted to a couple of possible self-harm issues. The counselor and principal reached out to the students and parents. They were able to get the students the mental-health assistance needed.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? Yes  If so, how? We have used it to discuss inappropriate behavior (i.e. accessing inappropriate material off campus using a school email account.)
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? Yes  If so, please describe these specific instances. We have had a couple of students try to access inappropriate material using a school-issued email account. This is directly against our Acceptable Use Policy, so the students were given on-campus detention based on our discipline guidelines."" -Suzette McIntyre, Director of Technology"
WEATHERFORD ISD,2018-2019,Securly,8081,9/12/18,FIRST OF 3 ANNUAL PAYMENTS; SECURLY FILTERING,"$23,466.67 ",,
WEATHERFORD ISD,2019-2020,Securly,8105,9/12/19,SECOND OF 3 ANNUAL PAYMENTS; SECURLY FILTERING NCPA 01-79 exp: 4/30/21 (23),"$23,466.67 ",,
WEST ISD,2018-2019,Gaggle,1359,11/14/18,Gaggle Safety Mgmt,"$1,750 ",,
WEST ISD,2019-2020,Gaggle,1340,9/5/19,Gaggle Safety Management for Google - Student,"$4,500 ",,
WEST ISD,2019-2020,Gaggle,1340,9/5/19,One Time Setup Fee,$750 ,,
WHARTON ISD,2017-2018,Gaggle,2097,9/25/17,Gaggle-Student Filter,"$4,400 ",,
WHARTON ISD,2018-2019,Gaggle,2015,10/15/18,Contracted Services - Tech,"$4,400 ",,
WHITE OAK ISD,2015-2016,Go Guardian,1515,11/20/15,GO GUARDIAN COVERAGE PART# GOGUARDIAN ANNUAL FAX TO 888 507 1659 AS PER MICHAEL GRAS,"$2,275 ",,"Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? We purchased it for the safety of our students. I do not recall who recommended it to us since it has been in place for over 15 years. No issue occurred. We were being proactive.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Email monitoring, web filter, social media monitoring for self harm only and then only if it is posted from a school owned device, chromebook management, web history tracking, device location tracking of the device for theft
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes; It is worth it because it has detected students reaching out for help in a number of areas. If it saves one student's life, it is worth every penny. 
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
It is not ""used on students."" It is used on school owned student devices and accounts. If they have a school provided email account or use a school owned device, those protections are in place. 
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No 
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?  Yes, all stakeholders were informed; parent meetings are held; students are introduced or reminded at the beginning of each school year when the acceptable use is reviewed; there is no opt-out option for school owned accounts or device filtering and monitoring since some of those items are required under federal law for eRate funding.
What policies did/do you have in place specifically governing the use of this technology by District officials?
I am not sure what this question is asking. 
Who all has/had access to reports/alerts generated by this technology? The CTO only. Then, if it violates the acceptable use policy or is harmful to a student, the proper campus and district authorities are made aware.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Not with specifics due to privacy laws, but several students over the years have been able to receive the help they need because of these tools in place.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? I wouldn't know what else to use them for. That is their intended purpose. The only thing you left out is theft of the device, and yes we have had to use the tracking to recover a couple of devices over the years. We provide the location to the police department for handling. 
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. In general terms, yes. Students have been disciplined. Due to student privacy laws, I will not discuss specifics."" - Scott S. Floyd, Chief Technology Officer"
WHITE OAK ISD,2015-2016,Gaggle,1515,6/14/16,Gaggle Safety Mgmt for Student Google Email Part# gaggle,"$4,200 ",,"Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? We purchased it for the safety of our students. I do not recall who recommended it to us since it has been in place for over 15 years. No issue occurred. We were being proactive.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Email monitoring, web filter, social media monitoring for self harm only and then only if it is posted from a school owned device, chromebook management, web history tracking, device location tracking of the device for theft
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes; It is worth it because it has detected students reaching out for help in a number of areas. If it saves one student's life, it is worth every penny. 
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
It is not ""used on students."" It is used on school owned student devices and accounts. If they have a school provided email account or use a school owned device, those protections are in place. 
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No 
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?  Yes, all stakeholders were informed; parent meetings are held; students are introduced or reminded at the beginning of each school year when the acceptable use is reviewed; there is no opt-out option for school owned accounts or device filtering and monitoring since some of those items are required under federal law for eRate funding.
What policies did/do you have in place specifically governing the use of this technology by District officials?
I am not sure what this question is asking. 
Who all has/had access to reports/alerts generated by this technology? The CTO only. Then, if it violates the acceptable use policy or is harmful to a student, the proper campus and district authorities are made aware.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? Not with specifics due to privacy laws, but several students over the years have been able to receive the help they need because of these tools in place.
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? I wouldn't know what else to use them for. That is their intended purpose. The only thing you left out is theft of the device, and yes we have had to use the tracking to recover a couple of devices over the years. We provide the location to the police department for handling. 
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. In general terms, yes. Students have been disciplined. Due to student privacy laws, I will not discuss specifics."" - Scott S. Floyd, Chief Technology Officer"
